City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Omboue,GA,78.58,overcast clouds,-1.5746,9.2618,Hotel Olako
5,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
11,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
12,Ternate,ID,82.15,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
22,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
23,Carutapera,BR,76.71,broken clouds,-1.195,-46.02,Lidera
24,Broken Hill,AU,80.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
25,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Bengkulu,ID,78.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
29,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Hithadhoo,MV,83.55,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Atuona,PF,77.79,light rain,-9.8,-139.0333,Villa Enata
45,Lorengau,PG,82.53,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Deniliquin,AU,91.99,overcast clouds,-35.5333,144.9667,Riviana Motel
56,Eydhafushi,MV,80.87,few clouds,5.1033,73.0708,Soneva Fushi
59,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
60,Vaini,TO,80.83,clear sky,-21.2,-175.2,Keleti Beach Resort
63,Haapiti,PF,87.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
67,Charters Towers,AU,82.38,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
68,Tomatlan,MX,75.18,clear sky,19.9333,-105.25,El Salvial
72,Nicoya,CR,80.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
75,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Morondava,MG,80.11,overcast clouds,-20.2833,44.2833,La Case Bambou
82,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
86,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
98,Bua Yai,TH,77.99,overcast clouds,15.5855,102.4259,Rabiang Mai Resort
100,Bani,DO,78.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
110,Flinders,AU,81.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
115,Sola,VU,90.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
