City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Omboue,GA,-1.5746,9.2618,78.58,85,100,5.48,overcast clouds
1,Jamestown,US,42.097,-79.2353,25.92,53,0,4.61,clear sky
2,Cape Town,ZA,-33.9258,18.4232,70.21,76,75,13.8,broken clouds
3,Fortuna,US,40.5982,-124.1573,55.47,73,0,20.71,clear sky
4,Nantucket,US,41.2835,-70.0995,25.02,46,0,9.22,clear sky
5,Rikitea,PF,-23.1203,-134.9692,78.62,67,53,10.92,broken clouds
6,Mount Gambier,AU,-37.8333,140.7667,66.11,68,100,8.05,light rain
7,Lompoc,US,34.6391,-120.4579,58.68,64,0,26.46,clear sky
8,Thompson,CA,55.7435,-97.8558,3.36,66,100,4.61,overcast clouds
9,Malanje,AO,-9.5402,16.341,63.59,98,100,4.83,light rain
10,Bredasdorp,ZA,-34.5322,20.0403,69.12,83,100,11.5,overcast clouds
11,Santa Rosa,PH,14.3122,121.1114,82.38,72,98,9.35,overcast clouds
12,Ternate,ID,0.8,127.4,82.15,77,44,4.14,scattered clouds
13,Leningradskiy,RU,69.3833,178.4167,-16.24,98,99,6.24,overcast clouds
14,Kyabe,TD,9.4515,18.9449,78.62,15,71,5.37,broken clouds
15,Hobart,AU,-42.8794,147.3294,74.26,64,75,5.75,broken clouds
16,San Patricio,US,28.017,-97.5169,71.69,76,0,14.03,clear sky
17,Salalah,OM,17.0151,54.0924,66.29,45,0,2.3,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,28.77,scattered clouds
19,Gweta,BW,-20.1833,25.2333,71.83,52,0,11.34,clear sky
20,Tiksi,RU,71.6872,128.8694,-20.51,98,38,2.42,scattered clouds
21,Haines Junction,CA,60.7522,-137.5108,33.75,51,75,2.3,broken clouds
22,Busselton,AU,-33.65,115.3333,76.08,52,0,10.74,clear sky
23,Carutapera,BR,-1.195,-46.02,76.71,90,79,6.62,broken clouds
24,Broken Hill,AU,-31.95,141.4333,80.31,32,100,4.61,overcast clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,77.56,91,95,5.01,overcast clouds
26,Bengkulu,ID,-3.8004,102.2655,78.21,75,82,3.13,broken clouds
27,Upington,ZA,-28.4478,21.2561,71.98,88,0,2.3,clear sky
28,Shu,KZ,43.5983,73.7614,26.04,85,100,3.78,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,87.87,40,0,18.41,clear sky
30,Guerrero Negro,MX,27.9769,-114.0611,63.0,68,2,12.3,clear sky
31,Zambezi,ZM,-13.5432,23.1047,63.9,97,95,8.16,overcast clouds
32,Bilma,NE,18.6853,12.9164,67.12,13,0,7.92,clear sky
33,Hithadhoo,MV,-0.6,73.0833,83.55,67,100,14.63,overcast clouds
34,Beringovskiy,RU,63.05,179.3167,-12.55,93,100,15.64,overcast clouds
35,Menongue,AO,-14.6585,17.691,60.48,98,100,4.54,light rain
36,Chateau-Gontier,FR,47.8333,-0.7,54.1,95,100,20.42,light rain
37,Ortigueira,BR,-24.2083,-50.9494,66.56,94,4,2.84,clear sky
38,Baker City,US,44.7749,-117.8344,38.59,75,100,13.8,overcast clouds
39,Aleksandrov Gay,RU,50.147,48.5704,7.99,91,18,6.6,few clouds
40,Atuona,PF,-9.8,-139.0333,77.79,76,5,12.73,light rain
41,Yining,CN,29.0361,114.5636,47.46,79,100,3.27,overcast clouds
42,Odweyne,SO,9.4092,45.064,62.6,50,0,1.68,clear sky
43,Marzuq,YE,14.4,46.4667,56.37,25,5,2.53,clear sky
44,Te Anau,NZ,-45.4167,167.7167,69.03,47,2,1.21,clear sky
45,Lorengau,PG,-2.0226,147.2712,82.53,78,89,7.63,heavy intensity rain
46,Norman Wells,CA,65.282,-126.8329,-25.56,68,20,4.61,few clouds
47,Nanortalik,GL,60.1432,-45.2371,9.91,64,54,33.87,broken clouds
48,Oyama,JP,36.3,139.8,46.65,38,6,9.22,clear sky
49,Upernavik,GL,72.7868,-56.1549,-13.18,92,100,10.85,overcast clouds
50,Arman,RU,59.7,150.1667,5.25,73,100,11.97,overcast clouds
51,Dryden,CA,49.7833,-92.7503,12.49,85,100,8.05,overcast clouds
52,Deniliquin,AU,-35.5333,144.9667,91.99,19,100,10.98,overcast clouds
53,Suez,EG,29.9737,32.5263,52.0,72,24,9.64,few clouds
54,Jaciara,BR,-15.9653,-54.9683,73.45,94,99,0.51,heavy intensity rain
55,Ribeira Grande,PT,38.5167,-28.7,62.02,88,100,17.34,overcast clouds
56,Eydhafushi,MV,5.1033,73.0708,80.87,70,19,2.82,few clouds
57,Nampa,US,43.5407,-116.5635,46.06,59,0,17.27,clear sky
58,Adrar,MR,20.5022,-10.0711,63.27,23,99,14.29,overcast clouds
59,Tiarei,PF,-17.5333,-149.3333,87.82,70,1,14.97,clear sky
60,Vaini,TO,-21.2,-175.2,80.83,70,9,12.66,clear sky
61,Hermanus,ZA,-34.4187,19.2345,67.89,84,100,9.93,overcast clouds
62,Bluff,NZ,-46.6,168.3333,56.8,54,0,5.5,clear sky
63,Haapiti,PF,-17.5667,-149.8667,87.53,68,7,14.52,clear sky
64,Mao,ES,39.8885,4.2658,48.76,87,0,6.91,clear sky
65,Kidal,ML,18.4411,1.4078,68.63,14,78,11.12,broken clouds
66,Castro,BR,-24.7911,-50.0119,62.92,98,9,6.67,clear sky
67,Charters Towers,AU,-20.1,146.2667,82.38,60,84,13.38,broken clouds
68,Tomatlan,MX,19.9333,-105.25,75.18,51,1,4.27,clear sky
69,Mataura,NZ,-46.1927,168.8643,56.48,43,20,5.64,few clouds
70,Barrow,US,71.2906,-156.7887,-25.58,68,0,10.36,clear sky
71,Nome,US,64.5011,-165.4064,-0.33,60,0,3.44,clear sky
72,Nicoya,CR,10.1483,-85.452,80.15,60,8,13.91,clear sky
73,Haysyn,UA,48.8114,29.3898,31.93,96,8,7.49,clear sky
74,Ust-Kuyga,RU,70.0167,135.6,-35.97,100,97,5.66,overcast clouds
75,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,73,8.12,broken clouds
76,Airai,TL,-8.9266,125.4092,71.35,58,7,1.54,clear sky
77,Yar-Sale,RU,66.8333,70.8333,-13.49,97,100,10.89,overcast clouds
78,Morondava,MG,-20.2833,44.2833,80.11,76,100,10.8,overcast clouds
79,Turukhansk,RU,65.8167,87.9833,-17.28,85,1,8.86,clear sky
