City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oistins,BB,2022-02-11 18:04:42,13.0667,-59.5333,79.43,58,30,22.21
1,Bengkulu,ID,2022-02-11 18:04:43,-3.8004,102.2655,74.89,88,87,4.59
2,Codrington,AU,2022-02-11 18:04:43,-38.2667,141.9667,54.45,84,11,8.57
3,Castro,BR,2022-02-11 18:04:43,-24.7911,-50.0119,80.19,45,0,2.26
4,Khatanga,RU,2022-02-11 18:04:44,71.9667,102.5,2.44,82,96,16.2
5,Kapaa,US,2022-02-11 18:04:44,22.0752,-159.319,69.19,100,0,8.05
6,Bluff,NZ,2022-02-11 18:04:44,-46.6,168.3333,52.81,69,61,13.85
7,Axim,GH,2022-02-11 18:04:45,4.8699,-2.2405,81.81,77,18,9.51
8,Hambantota,LK,2022-02-11 18:04:45,6.1241,81.1185,77.27,87,99,12.75
9,Ushuaia,AR,2022-02-11 18:04:45,-54.8,-68.3,55.06,67,40,26.46
10,Korla,CN,2022-02-11 18:04:45,41.7597,86.1469,27.46,48,5,4.92
11,Lompoc,US,2022-02-11 18:04:46,34.6391,-120.4579,82.13,35,0,3.44
12,Punta Arenas,CL,2022-02-11 18:04:46,-53.15,-70.9167,59.02,62,0,14.97
13,Busselton,AU,2022-02-11 18:04:46,-33.65,115.3333,61.09,89,28,4.65
14,Bogorodsk,RU,2022-02-11 18:04:47,56.1033,43.5158,31.35,95,88,6.6
15,Poso,ID,2022-02-11 18:04:47,-1.3959,120.7524,76.73,87,100,4.52
16,Bentong,MY,2022-02-11 18:04:47,3.5181,101.9079,73.44,93,100,0.72
17,Rikitea,PF,2022-02-11 18:04:48,-23.1203,-134.9692,78.82,73,2,18.21
18,Batticaloa,LK,2022-02-11 18:04:48,7.7102,81.6924,78.58,85,100,8.28
19,Vaini,TO,2022-02-11 18:04:48,-21.2,-175.2,81.32,77,3,13.2
20,Monroe,US,2022-02-11 18:00:40,43.1501,-77.6831,49.28,50,99,18.48
21,Tuktoyaktuk,CA,2022-02-11 18:04:49,69.4541,-133.0374,-21.42,100,99,8.39
22,Vestmannaeyjar,IS,2022-02-11 18:04:49,63.4427,-20.2734,36.59,75,75,25.32
23,Lebu,CL,2022-02-11 18:01:24,-37.6167,-73.65,60.91,59,0,22.41
24,Rocha,UY,2022-02-11 18:04:49,-34.4833,-54.3333,88.25,38,14,4.45
25,Qaanaaq,GL,2022-02-11 18:04:50,77.484,-69.3632,-25.04,67,0,7.58
26,Eureka,US,2022-02-11 18:04:50,40.8021,-124.1637,61.41,74,1,1.01
27,Benguela,AO,2022-02-11 18:00:33,-12.5763,13.4055,78.04,70,70,5.64
28,Albany,US,2022-02-11 18:04:01,42.6001,-73.9662,49.95,41,44,4.0
29,Ojo Caliente,MX,2022-02-11 18:04:50,22.5708,-102.2519,64.81,22,2,4.25
30,Barra,BR,2022-02-11 18:04:51,-11.0894,-43.1417,91.27,36,12,7.36
31,Mar Del Plata,AR,2022-02-11 18:01:41,-38.0023,-57.5575,62.87,74,100,21.99
32,Westport,US,2022-02-11 18:04:51,41.1415,-73.3579,57.34,48,5,5.01
33,Jamestown,US,2022-02-11 18:04:51,42.097,-79.2353,51.12,45,100,17.27
34,Wanxian,CN,2022-02-11 18:04:52,30.8039,108.3897,44.56,91,76,2.68
35,Cape Town,ZA,2022-02-11 18:00:04,-33.9258,18.4232,72.1,72,1,1.99
36,Ponta Do Sol,PT,2022-02-11 18:04:52,32.6667,-17.1,68.72,81,2,2.04
37,Hithadhoo,MV,2022-02-11 18:04:52,-0.6,73.0833,81.81,69,100,7.99
38,Thompson,CA,2022-02-11 18:04:53,55.7435,-97.8558,-16.26,80,6,8.32
39,Asau,RO,2022-02-11 18:04:53,46.4333,26.4,42.4,88,15,5.91
40,Narsaq,GL,2022-02-11 18:04:53,60.9167,-46.05,23.22,72,100,3.11
41,Hobart,AU,2022-02-11 18:02:31,-42.8794,147.3294,51.06,75,100,10.36
42,Antofagasta,CL,2022-02-11 18:02:28,-23.65,-70.4,76.21,60,6,9.4
43,Ponta Delgada,PT,2022-02-11 18:04:39,37.7333,-25.6667,61.52,63,20,5.75
44,Tasiilaq,GL,2022-02-11 18:04:54,65.6145,-37.6368,14.16,60,100,5.12
45,Mataura,NZ,2022-02-11 18:05:54,-46.1927,168.8643,52.48,94,100,2.66
46,Wabag,PG,2022-02-11 18:05:54,-5.4781,143.7021,53.71,95,100,2.53
47,Georgetown,MY,2022-02-11 18:05:55,5.4112,100.3354,79.9,83,20,0.0
48,Dingle,PH,2022-02-11 18:05:55,10.9995,122.6711,74.71,91,100,6.55
49,Uzunovo,RU,2022-02-11 18:05:55,54.5386,38.6173,21.85,91,80,8.66
50,Saint Anthony,US,2022-02-11 18:05:56,45.0205,-93.218,24.75,70,100,24.16
51,San Jose,US,2022-02-11 18:02:03,37.3394,-121.895,71.91,50,20,1.01
52,Hovd,MN,2022-02-11 18:05:56,48.0056,91.6419,-13.76,88,94,4.47
53,Butaritari,KI,2022-02-11 18:05:56,3.0707,172.7902,81.09,79,60,15.95
54,Diego De Almagro,CL,2022-02-11 18:01:44,-26.3667,-70.05,81.5,22,0,15.59
55,Kerema,PG,2022-02-11 18:05:57,-7.9631,145.7785,75.88,82,100,4.97
56,Atuona,PF,2022-02-11 18:05:57,-9.8,-139.0333,77.47,77,28,14.61
57,Yanji,CN,2022-02-11 18:05:57,42.9075,129.5078,17.49,67,8,13.13
58,Bambous Virieux,MU,2022-02-11 18:05:58,-20.3428,57.7575,79.05,83,20,1.14
59,Kirakira,SB,2022-02-11 18:05:58,-10.4544,161.9205,76.77,94,100,13.42
60,Manyana,BW,2022-02-11 18:01:42,-23.4,21.7167,77.09,50,61,3.85
61,Mahebourg,MU,2022-02-11 18:05:58,-20.4081,57.7,79.09,83,20,1.14
62,Quatre Cocos,MU,2022-02-11 18:05:59,-20.2078,57.7625,78.91,80,90,4.47
63,Saint-Paul,RE,2022-02-11 18:05:59,-21.0096,55.2707,78.91,79,44,4.09
64,Ancud,CL,2022-02-11 18:05:59,-41.8697,-73.8203,67.23,53,0,6.58
65,Longyearbyen,SJ,2022-02-11 18:05:59,78.2186,15.6401,19.24,93,75,4.61
66,Novyy Urgal,RU,2022-02-11 18:06:00,51.0736,132.5642,-0.62,99,100,1.45
67,Port Alfred,ZA,2022-02-11 18:06:00,-33.5906,26.891,70.43,84,9,5.68
68,Sedro-Woolley,US,2022-02-11 18:06:00,48.5039,-122.2361,47.08,84,0,1.01
69,Portland,US,2022-02-11 18:02:33,45.5234,-122.6762,53.28,82,40,6.91
70,Ravar,IR,2022-02-11 18:06:01,31.2656,56.8055,54.88,26,0,1.21
71,Geraldton,AU,2022-02-11 18:06:01,-28.7667,114.6,73.81,83,40,4.61
72,Naze,JP,2022-02-11 18:06:02,28.3667,129.4833,57.2,65,95,7.81
73,Derzhavinsk,KZ,2022-02-11 18:06:02,51.1,66.3167,25.02,95,100,20.96
74,Deputatskiy,RU,2022-02-11 18:06:02,69.3,139.9,-17.88,96,94,5.73
75,Presidencia Roque Saenz Pena,AR,2022-02-11 18:05:54,-26.7852,-60.4388,105.4,15,0,5.41
76,Hofn,IS,2022-02-11 18:06:03,64.2539,-15.2082,30.22,55,40,12.66
77,Provideniya,RU,2022-02-11 18:06:03,64.3833,-173.3,-17.1,92,14,8.97
78,Kahta,TR,2022-02-11 18:06:03,37.7855,38.6237,42.17,57,0,5.97
79,Launceston,AU,2022-02-11 18:06:03,-41.45,147.1667,55.8,66,100,10.36
80,Wenatchee,US,2022-02-11 18:06:04,47.4235,-120.3103,45.0,80,0,0.0
81,Bethlehem,BR,2022-02-11 18:04:10,-1.4558,-48.5044,82.44,83,75,13.8
82,Canon City,US,2022-02-11 18:06:04,38.441,-105.2424,52.02,53,0,15.01
83,San Matias,BO,2022-02-11 18:06:04,-16.3667,-58.4,87.35,64,69,4.9
84,Torbay,CA,2022-02-11 18:06:05,47.6666,-52.7314,43.75,80,98,7.0
85,Kosh-Agach,RU,2022-02-11 18:06:05,50.0,88.6667,-27.51,97,67,3.09
86,Nome,US,2022-02-11 18:06:05,64.5011,-165.4064,-3.93,54,0,11.5
87,Llata,PE,2022-02-11 18:06:06,-9.4167,-76.7833,57.43,80,100,4.61
88,Hermanus,ZA,2022-02-11 18:06:06,-34.4187,19.2345,69.8,85,1,4.59
89,Sao Filipe,CV,2022-02-11 18:06:06,14.8961,-24.4956,80.73,49,50,16.98
90,Carnarvon,AU,2022-02-11 18:06:07,-24.8667,113.6333,80.67,74,75,4.61
91,Bone,DE,2022-02-11 18:07:07,51.9669,12.1396,39.87,89,97,11.48
92,Puerto Ayora,EC,2022-02-11 18:07:07,-0.7393,-90.3518,82.36,85,57,5.99
93,Calamar,CO,2022-02-11 18:07:08,10.2511,-74.9146,89.55,27,38,7.23
94,Nortelandia,BR,2022-02-11 18:07:08,-14.4547,-56.8028,83.8,73,71,6.42
95,Xining,CN,2022-02-11 18:07:08,36.6167,101.7667,20.7,96,100,0.98
96,Vardo,NO,2022-02-11 18:07:09,70.3705,31.1107,30.18,93,40,19.57
97,La Crosse,US,2022-02-11 18:06:56,43.8014,-91.2396,35.51,84,100,18.41
98,Severo-Kurilsk,RU,2022-02-11 18:07:09,50.6789,156.125,23.0,86,97,4.14
99,Hilo,US,2022-02-11 18:07:09,19.7297,-155.09,73.62,81,75,6.91
100,Dayong,CN,2022-02-11 18:07:10,25.0209,118.2898,56.57,94,4,1.41
101,Ilulissat,GL,2022-02-11 18:07:10,69.2167,-51.1,21.22,79,75,2.3
102,Seoul,KR,2022-02-11 18:05:54,37.5683,126.9778,33.24,60,100,1.48
103,Constitucion,CL,2022-02-11 18:07:10,-35.3333,-72.4167,70.18,41,0,15.55
104,Husavik,IS,2022-02-11 18:07:11,66.0449,-17.3389,13.95,90,98,6.2
105,Semypolky,UA,2022-02-11 18:07:11,50.7167,30.9333,38.82,78,100,4.54
106,Oktyabrskiy,RU,2022-02-11 18:07:11,54.4815,53.471,20.21,95,98,7.36
107,Zheleznodorozhnyy,RU,2022-02-11 18:07:12,55.7503,38.0042,33.98,91,94,7.65
108,Veszprem,HU,2022-02-11 18:07:12,47.0933,17.9115,43.05,52,96,18.57
109,Kahului,US,2022-02-11 18:04:10,20.8947,-156.47,73.85,77,20,4.61
110,Pacific Grove,US,2022-02-11 18:05:29,36.6177,-121.9166,72.3,49,0,5.01
111,East London,ZA,2022-02-11 18:07:12,-33.0153,27.9116,74.95,81,94,6.42
112,Mogadishu,SO,2022-02-11 18:07:13,2.0371,45.3438,77.04,77,32,21.09
113,Esperance,AU,2022-02-11 18:07:13,-33.8667,121.9,73.24,78,98,4.68
114,Bodden Town,KY,2022-02-11 18:07:13,19.2833,-81.25,86.0,64,20,9.22
115,Rawson,AR,2022-02-11 18:07:14,-43.3002,-65.1023,69.53,29,0,13.87
116,Port Hedland,AU,2022-02-11 18:07:14,-20.3167,118.5667,84.25,84,40,4.61
117,Dale,US,2022-02-11 18:07:14,38.1689,-86.99,60.58,47,20,18.41
118,Goderich,CA,2022-02-11 18:06:51,43.7501,-81.7165,36.21,98,100,21.07
119,Shingu,JP,2022-02-11 18:07:15,33.7333,135.9833,36.91,65,28,6.46
120,Avarua,CK,2022-02-11 18:07:10,-21.2078,-159.775,73.45,100,20,1.14
121,Sehithwa,BW,2022-02-11 18:07:15,-20.4667,22.7167,74.88,62,73,4.29
122,Chifeng,CN,2022-02-11 18:07:16,42.2683,118.9636,18.63,38,91,7.81
123,Beringovskiy,RU,2022-02-11 18:07:16,63.05,179.3167,-28.19,96,72,9.78
124,Kaitangata,NZ,2022-02-11 18:07:16,-46.2817,169.8464,54.28,91,100,2.82
125,Salalah,OM,2022-02-11 18:07:16,17.0151,54.0924,75.29,64,20,2.3
126,Pontianak,ID,2022-02-11 18:07:17,-0.0333,109.3333,76.98,100,100,1.14
127,Kodiak,US,2022-02-11 18:07:17,57.79,-152.4072,36.91,93,100,3.44
128,Luderitz,NA,2022-02-11 18:07:17,-26.6481,15.1594,77.36,64,100,11.7
129,Ossora,RU,2022-02-11 18:07:18,59.2353,163.0719,-8.48,99,59,4.65
130,Rio Gallegos,AR,2022-02-11 18:07:18,-51.6226,-69.2181,60.85,48,75,32.21
131,Diebougou,BF,2022-02-11 18:07:18,10.9667,-3.25,91.51,7,18,6.4
132,Lata,PT,2022-02-11 18:07:19,40.1629,-8.3327,61.36,77,68,4.18
133,Guayaramerin,BO,2022-02-11 18:07:19,-10.8368,-65.3614,92.08,44,94,5.41
134,Cidreira,BR,2022-02-11 18:07:19,-30.1811,-50.2056,78.66,72,0,16.33
135,Akyab,MM,2022-02-11 18:07:20,20.15,92.9,69.37,64,3,12.59
136,Flin Flon,CA,2022-02-11 18:08:20,54.7682,-101.865,-15.39,76,10,3.6
137,Egvekinot,RU,2022-02-11 18:08:20,66.3167,-179.1667,-22.0,87,13,7.99
138,Bredasdorp,ZA,2022-02-11 18:08:21,-34.5322,20.0403,69.28,79,0,6.91
139,Concarneau,FR,2022-02-11 18:08:21,47.875,-3.9225,45.37,71,90,4.99
140,Inhambane,MZ,2022-02-11 18:08:21,-23.865,35.3833,78.78,78,20,4.61
141,Phan Thiet,VN,2022-02-11 18:08:22,10.9333,108.1,75.99,73,94,8.84
142,Cockburn Town,TC,2022-02-11 18:08:22,21.4612,-71.1419,78.01,79,0,17.76
143,Clarence Town,AU,2022-02-11 18:08:22,-32.5833,151.7833,72.86,89,66,4.65
144,Saint-Philippe,RE,2022-02-11 18:08:23,-21.3585,55.7679,78.39,77,42,8.05
145,Miyako,JP,2022-02-11 18:08:23,39.6367,141.9525,30.47,81,96,3.49
146,Vostok,RU,2022-02-11 18:08:23,46.4856,135.8833,15.12,97,100,2.98
147,Alexandria,EG,2022-02-11 18:08:24,31.2156,29.9553,56.08,65,0,6.73
148,Evensk,RU,2022-02-11 18:08:24,61.95,159.2333,-13.09,74,52,6.13
149,Qui Nhon,VN,2022-02-11 18:08:24,13.7667,109.2333,73.02,88,94,6.49
150,Mercedes,AR,2022-02-11 18:08:25,-34.6515,-59.4307,77.65,70,84,24.14
151,Iberia,US,2022-02-11 18:08:25,29.9502,-91.7507,70.97,37,0,6.91
152,Gamba,GA,2022-02-11 18:08:25,-2.65,10.0,78.28,86,78,7.65
153,Yellowknife,CA,2022-02-11 18:08:26,62.456,-114.3525,-11.58,93,84,4.65
154,Pedasi,PA,2022-02-11 18:08:26,7.5333,-80.0333,82.8,70,62,13.65
155,Saint George,US,2022-02-11 18:07:53,37.1041,-113.5841,64.35,39,0,1.99
156,Zlobin,HR,2022-02-11 18:08:26,45.2924,14.6541,42.15,85,75,3.44
157,Itarema,BR,2022-02-11 18:08:27,-2.9248,-39.9167,85.6,61,73,15.39
158,Am Timan,TD,2022-02-11 18:08:27,11.0297,20.2827,82.63,11,0,4.52
159,Nikolskoye,RU,2022-02-11 18:08:27,59.7035,30.7861,28.8,90,91,8.79
160,Algiers,DZ,2022-02-11 18:05:21,36.7525,3.042,55.22,77,40,6.91
161,Tiksi,RU,2022-02-11 18:08:27,71.6872,128.8694,-13.77,94,94,14.27
162,Wasilla,US,2022-02-11 18:08:28,61.5814,-149.4394,21.76,85,100,6.91
163,Sangar,RU,2022-02-11 18:08:28,63.9242,127.4739,-36.98,100,78,1.7
164,Amapa,BR,2022-02-11 18:08:28,1.0,-52.0,84.2,66,99,3.24
165,Maningrida,AU,2022-02-11 18:08:29,-12.0667,134.2667,79.66,81,45,5.59
166,Pisco,PE,2022-02-11 18:05:00,-13.7,-76.2167,78.85,57,0,16.11
167,Ust-Ishim,RU,2022-02-11 18:08:29,57.6935,71.1665,-4.67,93,6,8.9
168,Nemuro,JP,2022-02-11 18:08:29,43.3236,145.575,23.0,77,89,8.63
169,San Patricio,US,2022-02-11 18:08:30,28.017,-97.5169,75.61,45,0,6.76
170,Talnakh,RU,2022-02-11 18:08:30,69.4865,88.3972,-11.18,89,99,10.07
171,Bethel,US,2022-02-11 18:08:30,41.3712,-73.414,55.72,41,0,18.41
172,New Norfolk,AU,2022-02-11 18:08:31,-42.7826,147.0587,50.72,65,1,2.26
173,General Roca,AR,2022-02-11 18:08:31,-39.0333,-67.5833,76.1,15,0,8.63
174,Gizo,SB,2022-02-11 18:08:31,-8.103,156.8419,79.86,81,100,7.34
175,Ulladulla,AU,2022-02-11 18:08:32,-35.35,150.4667,64.09,87,54,10.42
176,Barrow,US,2022-02-11 18:05:02,71.2906,-156.7887,-34.58,100,0,6.91
177,Estevan,CA,2022-02-11 18:08:32,49.1334,-102.9842,1.74,69,80,9.78
178,Katobu,ID,2022-02-11 18:08:32,-4.9408,122.5276,75.51,91,100,2.26
179,Pevek,RU,2022-02-11 18:08:32,69.7008,170.3133,-26.07,98,100,6.91
180,San Vicente,AR,2022-02-11 18:08:33,-26.6167,-54.1333,90.99,26,37,2.15
181,Sassandra,CI,2022-02-11 18:09:33,4.95,-6.0833,82.49,74,25,8.79
182,Bluefield,US,2022-02-11 18:09:33,37.2698,-81.2223,60.94,33,0,26.46
183,Neuquen,AR,2022-02-11 18:05:29,-38.9516,-68.0591,76.59,14,0,9.73
184,Buala,SB,2022-02-11 18:09:34,-8.145,159.5921,75.92,96,100,4.68
185,Nhulunbuy,AU,2022-02-11 18:09:34,-12.2333,136.7667,79.41,89,79,6.91
186,Vilhena,BR,2022-02-11 18:05:13,-12.7406,-60.1458,78.21,87,95,5.59
187,Te Anau,NZ,2022-02-11 18:09:34,-45.4167,167.7167,54.54,90,87,2.04
188,Veraval,IN,2022-02-11 18:09:35,20.9,70.3667,72.57,43,1,7.45
189,Finschhafen,PG,2022-02-11 18:09:35,-6.6024,147.8681,78.82,82,99,4.81
190,Henties Bay,NA,2022-02-11 18:09:35,-22.116,14.2845,71.85,83,63,1.72
191,Louga,RU,2022-02-11 18:09:36,58.7372,29.8453,29.23,89,100,8.7
192,Sovetskiy,RU,2022-02-11 18:09:36,61.3614,63.5842,4.03,84,100,12.39
193,Svetlogorsk,BY,2022-02-11 18:09:36,52.6333,29.7333,30.6,90,91,4.79
194,Coihaique,CL,2022-02-11 18:09:02,-45.5752,-72.0662,65.01,42,0,5.75
